LocationID,Borough,Zone,service_zone,loc,lat,lng
132,Queens,JFK Airport,Airports,"JFK Airport, Queens, New York",40.6429479,-73.7793733748521
133,Brooklyn,Kensington,Boro Zone,"Kensington, Brooklyn, New York",40.7934345,-73.7220756
134,Queens,Kew Gardens,Boro Zone,"Kew Gardens, Queens, New York",40.7139415,-73.830742
135,Queens,Kew Gardens Hills,Boro Zone,"Kew Gardens Hills, Queens, New York",40.7302467,-73.8184806
136,Bronx,Kingsbridge Heights,Boro Zone,"Kingsbridge Heights, Bronx, New York",40.8725702,-73.9026619
137,Manhattan,Kips Bay,Yellow Zone,"Kips Bay, Manhattan, New York",40.7395463,-73.9770832
138,Queens,LaGuardia Airport,Airports,"LaGuardia Airport, Queens, New York",40.7757145,-73.87336398511545
139,Queens,Laurelton,Boro Zone,"Laurelton, Queens, New York",40.6667703,-73.7515212
140,Manhattan,Lenox Hill East,Yellow Zone,"Lenox Hill East, Manhattan, New York",40.77364275,-73.96086187105126
141,Manhattan,Lenox Hill West,Yellow Zone,"Lenox Hill West, Manhattan, New York",40.76503,-73.95507
142,Manhattan,Lincoln Square East,Yellow Zone,"Lincoln Square East, Manhattan, New York",40.7362448,-73.9900668
143,Manhattan,Lincoln Square West,Yellow Zone,"Lincoln Square West, Manhattan, New York",40.7725184,-73.98422367365187
144,Manhattan,Little Italy/NoLiTa,Yellow Zone,"Little Italy/NoLiTa, Manhattan, New York",40.7192728,-73.9982152
145,Queens,Long Island City/Hunters Point,Boro Zone,"Long Island City/Hunters Point, Queens, New York",40.7415095,-73.9569751
146,Queens,Long Island City/Queens Plaza,Boro Zone,"Long Island City/Queens Plaza, Queens, New York",40.7415095,-73.9569751
147,Bronx,Longwood,Boro Zone,"Longwood, Bronx, New York",42.9531152,-78.3694646
148,Manhattan,Lower East Side,Yellow Zone,"Lower East Side, Manhattan, New York",40.7159357,-73.9868057
149,Brooklyn,Madison,Boro Zone,"Madison, Brooklyn, New York",43.07869355,-75.7509974220067
150,Brooklyn,Manhattan Beach,Boro Zone,"Manhattan Beach, Brooklyn, New York",40.5766309,-73.9409798480918
151,Manhattan,Manhattan Valley,Yellow Zone,"Manhattan Valley, Manhattan, New York",40.7997764,-73.9677716
152,Manhattan,Manhattanville,Boro Zone,"Manhattanville, Manhattan, New York",40.8157775,-73.951554
