LocationID,Borough,Zone,service_zone,loc,lat,lng
211,Manhattan,SoHo,Yellow Zone,"SoHo, Manhattan, New York",40.72288,-73.9987505
212,Bronx,Soundview/Bruckner,Boro Zone,"Soundview/Bruckner, Bronx, New York",40.8153759,-73.87110608912408
213,Bronx,Soundview/Castle Hill,Boro Zone,"Soundview/Castle Hill, Bronx, New York",40.8153759,-73.87110608912408
214,Staten Island,South Beach/Dongan Hills,Boro Zone,"South Beach/Dongan Hills, Staten Island, New York",40.5903825,-74.0668076
215,Queens,South Jamaica,Boro Zone,"South Jamaica, Queens, New York",40.69567495,-73.79420266473011
216,Queens,South Ozone Park,Boro Zone,"South Ozone Park, Queens, New York",40.6701035,-73.8190231
217,Brooklyn,South Williamsburg,Boro Zone,"South Williamsburg, Brooklyn, New York",40.7211543,-73.9454038
218,Queens,Springfield Gardens North,Boro Zone,"Springfield Gardens North, Queens, New York",40.66641,-73.75237
219,Queens,Springfield Gardens South,Boro Zone,"Springfield Gardens South, Queens, New York",40.666110,-73.746860
220,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone,"Spuyten Duyvil/Kingsbridge, Bronx, New York",40.8812107,-73.9173588
221,Staten Island,Stapleton,Boro Zone,"Stapleton, Staten Island, New York",40.6264774,-74.0776361
222,Brooklyn,Starrett City,Boro Zone,"Starrett City, Brooklyn, New York",40.6478541,-73.87951545688418
223,Queens,Steinway,Boro Zone,"Steinway, Queens, New York",40.7745459,-73.9037477
224,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone,"Stuy Town/Peter Cooper Village, Manhattan, New York",40.73185095,-73.97778284051762
225,Brooklyn,Stuyvesant Heights,Boro Zone,"Stuyvesant Heights, Brooklyn, New York",42.387863,-73.775751
226,Queens,Sunnyside,Boro Zone,"Sunnyside, Queens, New York",40.7398242,-73.9354153
227,Brooklyn,Sunset Park East,Boro Zone,"Sunset Park East, Brooklyn, New York",40.65247355,-73.4605975236467
228,Brooklyn,Sunset Park West,Boro Zone,"Sunset Park West, Brooklyn, New York",40.892954,-74.195122
229,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,"Sutton Place/Turtle Bay North, Manhattan, New York",40.7580412,-73.9601802
230,Manhattan,Times Sq/Theatre District,Yellow Zone,"Times Sq/Theatre District, Manhattan, New York",40.75728055,-73.98585503545917
231,Manhattan,TriBeCa/Civic Center,Yellow Zone,"TriBeCa/Civic Center, Manhattan, New York",40.7153802,-74.0093063
232,Manhattan,Two Bridges/Seward Park,Yellow Zone,"Two Bridges/Seward Park, Manhattan, New York",40.7112884,-73.9922333
233,Manhattan,UN/Turtle Bay South,Yellow Zone,"UN/Turtle Bay South, Manhattan, New York",40.75026105,-73.96719495826338
234,Manhattan,Union Sq,Yellow Zone,"Union Sq, Manhattan, New York",40.7360717,-73.9901888
235,Bronx,University Heights/Morris Heights,Boro Zone,"University Heights/Morris Heights, Bronx, New York",40.8618406,-73.9135154
236,Manhattan,Upper East Side North,Yellow Zone,"Upper East Side North, Manhattan, New York",39.752728950000005,-75.53929620462941
237,Manhattan,Upper East Side South,Yellow Zone,"Upper East Side South, Manhattan, New York",40.77946795,-73.9582649374
238,Manhattan,Upper West Side North,Yellow Zone,"Upper West Side North, Manhattan, New York",40.794800,-73.977820
239,Manhattan,Upper West Side South,Yellow Zone,"Upper West Side South, Manhattan, New York",40.774738,-73.9923669
240,Bronx,Van Cortlandt Park,Boro Zone,"Van Cortlandt Park, Bronx, New York",40.8970755,-73.8865797057321
241,Bronx,Van Cortlandt Village,Boro Zone,"Van Cortlandt Village, Bronx, New York",41.2054773,-73.8901119
242,Bronx,Van Nest/Morris Park,Boro Zone,"Van Nest/Morris Park, Bronx, New York",40.8484336,-73.8637463
243,Manhattan,Washington Heights North,Boro Zone,"Washington Heights North, Manhattan, New York",40.8260529,-73.69550718512842
244,Manhattan,Washington Heights South,Boro Zone,"Washington Heights South, Manhattan, New York",40.883325,-72.515328
245,Staten Island,West Brighton,Boro Zone,"West Brighton, Staten Island, New York",40.5777777,-73.97493450097132
246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,"West Chelsea/Hudson Yards, Manhattan, New York",40.7502382,-73.9928111
247,Bronx,West Concourse,Boro Zone,"West Concourse, Bronx, New York",40.8263962,-73.9211598
248,Bronx,West Farms/Bronx River,Boro Zone,"West Farms/Bronx River, Bronx, New York",40.8398226,-73.8776356
249,Manhattan,West Village,Yellow Zone,"West Village, Manhattan, New York",40.7341857,-74.00558
250,Bronx,Westchester Village/Unionport,Boro Zone,"Westchester Village/Unionport, Bronx, New York",43.09306095,-77.80238595785123
251,Staten Island,Westerleigh,Boro Zone,"Westerleigh, Staten Island, New York",40.621215,-74.1318094
252,Queens,Whitestone,Boro Zone,"Whitestone, Queens, New York",40.7945457,-73.8184674
253,Queens,Willets Point,Boro Zone,"Willets Point, Queens, New York",40.796708,-73.779396
254,Bronx,Williamsbridge/Olinville,Boro Zone,"Williamsbridge/Olinville, Bronx, New York",40.87762425,-73.87752006260061
255,Brooklyn,Williamsburg (North Side),Boro Zone,"Williamsburg (North Side), Brooklyn, New York",40.719410,-73.964010
256,Brooklyn,Williamsburg (South Side),Boro Zone,"Williamsburg (South Side), Brooklyn, New York",42.132250,-74.660210
257,Brooklyn,Windsor Terrace,Boro Zone,"Windsor Terrace, Brooklyn, New York",40.65348695,-73.97719596197135
258,Queens,Woodhaven,Boro Zone,"Woodhaven, Queens, New York",40.6892698,-73.8579131
259,Bronx,Woodlawn/Wakefield,Boro Zone,"Woodlawn/Wakefield, Bronx, New York",40.8957527,-73.8624521
260,Queens,Woodside,Boro Zone,"Woodside, Queens, New York",40.7453798,-73.9054145
261,Manhattan,World Trade Center,Yellow Zone,"World Trade Center, Manhattan, New York",40.7118877,-74.0124412
262,Manhattan,Yorkville East,Yellow Zone,"Yorkville East, Manhattan, New York",40.7845049,-73.95700311498811
263,Manhattan,Yorkville West,Yellow Zone,"Yorkville West, Manhattan, New York",40.810703,-73.404922
